Date,NO3N,Student_Flag
8/2/2016 12:29,0.071,0
8/2/2016 12:59,0.03,0
8/2/2016 13:29,0.03,0
8/2/2016 13:59,0.03,0
8/2/2016 14:29,0.03,0
8/2/2016 14:59,0.03,0
8/2/2016 15:29,0.03,0
8/2/2016 15:59,0.03,0
8/2/2016 16:29,0.03,0
8/2/2016 16:59,0.03,0
8/2/2016 17:29,0.093,0
8/2/2016 17:59,1.586,1
8/2/2016 18:29,0.427,0
8/2/2016 18:59,0.613,0
8/2/2016 19:29,0.658,0
8/2/2016 19:59,0.663,0
8/2/2016 20:29,0.667,0
8/2/2016 20:59,0.617,0
8/2/2016 21:29,0.59,0
8/2/2016 21:59,0.546,0
8/2/2016 22:29,0.502,0
8/2/2016 22:59,0.415,0
8/2/2016 23:29,0.382,0
8/2/2016 23:59,0.331,0
8/3/2016 0:29,0.296,0
8/3/2016 0:59,0.267,0
8/3/2016 1:29,0.25,0
8/3/2016 1:59,0.157,0
8/3/2016 2:29,0.153,0
8/3/2016 2:59,0.107,0
8/3/2016 3:29,0.03,0
8/3/2016 3:59,0.083,0
8/3/2016 4:29,0.155,0
8/3/2016 4:59,0.03,0
8/3/2016 5:29,0.061,0
8/3/2016 5:59,0.03,0
8/3/2016 6:29,0.13,0
8/3/2016 6:59,0.154,0
8/3/2016 7:29,0.136,0
8/3/2016 7:59,0.068,0
8/3/2016 8:29,0.066,0
8/3/2016 8:59,0.03,0
8/3/2016 9:29,0.03,0
8/3/2016 9:59,0.03,0
8/3/2016 10:29,0.03,0
8/3/2016 10:59,0.03,0
8/3/2016 11:29,0.03,0
8/3/2016 11:59,0.133,0
8/3/2016 12:29,0.03,0
8/3/2016 12:59,0.03,0
8/3/2016 13:29,0.03,0
8/3/2016 13:59,0.03,0
8/3/2016 14:29,0.03,0
8/3/2016 14:59,0.03,0
8/3/2016 15:29,0.03,0
8/3/2016 15:59,0.03,0
8/3/2016 16:29,0.03,0
8/3/2016 16:59,0.03,0
8/3/2016 17:29,0.03,0
8/3/2016 17:59,0.03,0
8/3/2016 18:29,0.03,0
8/3/2016 18:59,0.03,0
8/3/2016 19:29,0.03,0
8/3/2016 19:59,0.03,0
8/3/2016 20:29,0.03,0
8/3/2016 20:59,0.03,0
8/3/2016 21:29,0.03,0
8/3/2016 21:59,0.03,0
8/3/2016 22:29,0.03,0
8/3/2016 22:59,0.03,0
8/3/2016 23:29,0.03,0
8/3/2016 23:59,0.03,0
